index,DEBTINC,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,BAD
46,30.124555686,10900,49406.0,83074.0,HomeImp,Other,1.0,0.0,1.0,191.81512308,0.0,13.0,0
47,,15000,,,HomeImp,,1.0,1.0,0.0,108.53333333,0.0,22.0,1
48,40.135531359,27900,149359.0,192955.0,HomeImp,Self,0.0,0.0,0.0,172.57959055,1.0,16.0,0
49,,7500,,40150.0,HomeImp,Other,5.0,0.0,0.0,,1.0,0.0,1
50,,28000,68000.0,106000.0,HomeImp,Other,6.0,,,114.7,11.0,21.0,0
51,,13600,41000.0,73440.0,DebtCon,Mgr,4.0,0.0,0.0,125.76666667,1.0,9.0,0
52,29.995038406,12900,66126.0,84472.0,DebtCon,Other,2.0,,,187.17919874,,34.0,0
53,29.622368686,38900,198749.0,270751.0,DebtCon,ProfExe,4.0,0.0,0.0,245.89544438,0.0,32.0,0
54,40.608567483,16600,95860.0,123546.0,DebtCon,Office,0.0,,2.0,252.75748794,1.0,29.0,0
55,43.181424488,42900,101731.0,155688.0,DebtCon,Other,14.0,,1.0,235.35205699,3.0,30.0,0
56,41.572971522,12000,88210.0,114224.0,DebtCon,ProfExe,8.0,0.0,0.0,203.46897898,1.0,36.0,0
57,,11000,63847.0,86500.0,HomeImp,Office,26.0,0.0,0.0,170.43333333,2.0,14.0,0
58,33.334411917,16200,76211.0,104348.0,DebtCon,Other,0.0,0.0,0.0,141.04682436,1.0,18.0,0
59,28.298227056,17300,48132.0,78889.0,DebtCon,Mgr,4.0,0.0,0.0,133.16768546,0.0,8.0,0
60,26.71625685,23900,16082.0,31196.0,DebtCon,Other,17.0,2.0,0.0,123.36864612,1.0,19.0,0
61,37.158294824,26300,58369.0,88124.0,DebtCon,Other,7.0,0.0,0.0,234.22154725,1.0,20.0,0
62,27.283395304,17700,10847.0,94611.0,HomeImp,Other,14.0,0.0,1.0,271.39666705,0.0,22.0,0
63,31.120132652,11400,66491.0,89553.0,DebtCon,,4.0,0.0,0.0,212.78328271,0.0,16.0,0
64,29.417708768,14700,76888.0,96552.0,DebtCon,ProfExe,9.0,2.0,0.0,189.56390632,0.0,30.0,0
65,32.375149102,10500,74814.0,98132.0,HomeImp,ProfExe,8.0,0.0,0.0,164.3308981,0.0,34.0,0
66,,10000,22000.0,41250.0,HomeImp,Mgr,5.0,0.0,0.0,97.966666667,0.0,21.0,1
67,11.652738796,4500,,49044.0,HomeImp,,0.0,0.0,0.0,,0.0,0.0,0
68,41.102676905,15200,40341.0,58834.0,DebtCon,Other,,0.0,0.0,100.01445522,0.0,15.0,0
69,,57000,38000.0,68000.0,DebtCon,Other,3.5,0.0,0.0,97.4,0.0,21.0,0
70,,25000,188545.0,241279.0,DebtCon,Other,9.0,0.0,0.0,102.5,2.0,26.0,0
71,40.642278896,25900,152071.0,185893.0,HomeImp,Self,0.0,0.0,0.0,185.54351198,0.0,16.0,0
72,42.13884767,21200,85092.0,139345.0,DebtCon,Other,9.0,0.0,1.0,87.64505947,3.0,14.0,0
73,12.706937983,15800,,96642.0,DebtCon,Office,26.0,0.0,0.0,335.15468819,0.0,16.0,0
74,34.727875189,10900,56793.0,68825.0,DebtCon,Other,3.0,0.0,0.0,225.88904146,0.0,9.0,0
75,,1700,97800.0,112000.0,HomeImp,Office,3.0,0.0,0.0,93.333333333,0.0,14.0,0
76,,13000,177000.0,200000.0,DebtCon,Mgr,3.0,0.0,2.0,195.83333333,1.0,50.0,1
77,27.384116512,18100,144692.0,183630.0,DebtCon,Mgr,11.0,0.0,0.0,256.2054726,0.0,21.0,0
78,24.258677221,27100,20479.0,46735.0,DebtCon,Other,24.0,0.0,0.0,103.81628973,0.0,10.0,0
79,25.81001106,14000,51721.0,61193.0,DebtCon,Other,0.0,0.0,0.0,186.99935879,2.0,12.0,0
80,23.698007625,16400,71906.0,86144.0,DebtCon,Office,2.0,0.0,0.0,126.17015231,1.0,20.0,0
81,30.27099531,23800,74390.0,186176.0,,Other,10.0,0.0,0.0,363.14019166,1.0,16.0,0
82,32.681999348,35800,207312.0,271738.0,DebtCon,ProfExe,4.0,0.0,0.0,228.80200737,0.0,32.0,0
83,35.106719635,17400,79623.0,113658.0,DebtCon,Other,0.0,0.0,2.0,212.12914517,2.0,25.0,1
84,30.998694504,11700,56990.0,83334.0,HomeImp,Other,4.0,0.0,2.0,177.43269886,0.0,13.0,0
85,35.031650879,10200,86400.0,113698.0,HomeImp,ProfExe,11.0,0.0,1.0,181.54292704,0.0,27.0,0
86,31.369739388,38100,204071.0,270794.0,DebtCon,ProfExe,3.0,0.0,0.0,230.39857646,0.0,32.0,0
87,39.277021984,25100,,59783.0,DebtCon,Other,,0.0,0.0,307.74973593,0.0,19.0,0
88,37.749426528,19200,54483.0,81690.0,DebtCon,Other,16.0,0.0,0.0,198.70251643,0.0,21.0,0
89,,10000,31000.0,58240.0,DebtCon,Mgr,,,,,,,0
90,29.153071493,21600,152639.0,195661.0,DebtCon,ProfExe,14.0,,,127.7781102,0.0,24.0,0
91,31.177261304,6300,78724.0,80355.0,HomeImp,Other,24.0,0.0,0.0,335.07414261,1.0,46.0,0
92,36.18947433,25800,137140.0,167096.0,DebtCon,Other,7.0,0.0,1.0,209.08528296,1.0,19.0,0
93,40.162944538,22700,,57156.0,DebtCon,Other,,0.0,0.0,289.54567264,0.0,19.0,0
94,,3900,14500.0,22092.0,HomeImp,Other,3.5,0.0,1.0,150.3,5.0,8.0,1
95,25.52507894,11300,61810.0,79817.0,DebtCon,Office,6.0,0.0,0.0,98.224144195,1.0,14.0,0
96,,8000,53000.0,65960.0,HomeImp,Other,7.5,0.0,0.0,132.56666667,0.0,17.0,0
97,37.929273869,7800,58364.0,66688.0,DebtCon,Other,3.0,0.0,2.0,114.51215796,3.0,18.0,0
98,28.839933481,14300,43826.0,70517.0,DebtCon,Other,0.0,0.0,0.0,260.08494491,0.0,20.0,0
99,30.020087994,23700,93734.0,98099.0,HomeImp,,8.0,,,,,,0
100,34.302973903,37700,141260.0,205493.0,HomeImp,ProfExe,5.0,0.0,0.0,148.13723935,0.0,31.0,0
101,38.662402273,31500,10879.0,58089.0,DebtCon,Other,0.0,0.0,0.0,94.248035718,0.0,5.0,0
102,40.903058402,21600,105759.0,139002.0,DebtCon,Office,11.0,0.0,2.0,213.03452176,0.0,24.0,0
103,27.224985258,30000,79044.0,118685.0,DebtCon,Mgr,12.0,0.0,0.0,92.118875541,1.0,34.0,0
104,24.651395744,5600,41439.0,53893.0,HomeImp,Office,8.0,,,181.32298993,,19.0,0
105,43.79573429,20500,173061.0,220886.0,DebtCon,Office,13.0,0.0,0.0,213.91435993,1.0,32.0,0
106,29.160140823,15200,7879.0,95124.0,HomeImp,Other,13.0,0.0,1.0,270.28589924,0.0,22.0,0
107,33.523278536,16100,99844.0,114647.0,DebtCon,Other,11.0,0.0,0.0,169.983556,0.0,27.0,0
108,34.734277161,17100,100082.0,119585.0,DebtCon,ProfExe,1.0,0.0,0.0,147.91580911,0.0,29.0,0
109,38.962872064,17700,85150.0,113104.0,DebtCon,ProfExe,11.0,0.0,0.0,148.0652591,2.0,19.0,0
110,32.012701356,13300,86360.0,116111.0,HomeImp,Mgr,8.0,0.0,0.0,232.29213861,0.0,24.0,0
111,,12100,12000.0,33938.0,DebtCon,Mgr,9.0,0.0,0.0,118.76666667,0.0,11.0,0
112,24.089437148,12400,16375.0,36672.0,DebtCon,Mgr,8.0,0.0,0.0,120.67492799,0.0,11.0,0
113,26.092171525,21600,61797.0,109007.0,DebtCon,ProfExe,14.0,0.0,2.0,267.88778988,0.0,35.0,0
114,40.564121581,21000,133430.0,189263.0,DebtCon,ProfExe,22.0,0.0,0.0,229.98699803,1.0,23.0,0
115,39.528326336,10600,27666.0,56218.0,HomeImp,Other,3.0,0.0,0.0,249.85118993,0.0,10.0,0
116,,5200,19000.0,26000.0,DebtCon,Other,0.0,1.0,0.0,17.2,10.0,7.0,0
117,39.187361612,26200,105096.0,136580.0,DebtCon,Mgr,9.0,2.0,0.0,181.35859173,4.0,17.0,0
118,25.409016713,7900,44682.0,57285.0,DebtCon,,7.0,1.0,0.0,110.07185689,1.0,25.0,0
119,,5000,73126.0,87500.0,DebtCon,Other,1.0,0.0,0.0,125.96666667,2.0,10.0,0
120,37.982353508,9600,50655.0,59502.0,DebtCon,Other,0.0,0.0,0.0,93.432844102,0.0,20.0,0
121,28.709192906,13700,27536.0,45819.0,HomeImp,Other,7.0,0.0,0.0,73.455765867,2.0,12.0,0
122,37.50862467,17000,54780.0,93091.0,DebtCon,ProfExe,4.0,0.0,0.0,115.37533239,1.0,21.0,0
123,,15000,36900.0,58600.0,HomeImp,Other,26.0,0.0,0.0,247.1,0.0,14.0,0
124,42.159936538,27400,51298.0,90010.0,DebtCon,Other,6.0,1.0,0.0,146.65622021,3.0,29.0,0
125,35.558171284,12900,59191.0,72716.0,DebtCon,Other,2.0,0.0,0.0,175.17044098,1.0,17.0,0
126,37.846648093,13700,59530.0,81068.0,DebtCon,Other,0.0,0.0,0.0,108.01914173,3.0,10.0,0
127,37.297432095,9900,35448.0,58056.0,DebtCon,Other,11.0,0.0,0.0,229.5228444,1.0,31.0,0
128,29.808589765,17600,71983.0,97939.0,DebtCon,Office,1.0,0.0,0.0,144.36621588,3.0,19.0,0
129,,5100,93000.0,116875.0,HomeImp,Other,10.0,,,417.63333333,2.0,50.0,0
130,26.129627304,11200,29348.0,87351.0,HomeImp,ProfExe,20.0,0.0,0.0,224.39489458,0.0,11.0,0
131,40.280974865,10200,82630.0,99250.0,DebtCon,Other,1.0,0.0,0.0,107.52855981,1.0,32.0,0
132,,5000,78565.0,98500.0,DebtCon,ProfExe,24.0,0.0,0.0,51.766666667,3.0,14.0,0
133,37.479410286,9100,17218.0,36721.0,DebtCon,Other,8.0,0.0,1.0,115.75209332,3.0,5.0,1
134,26.210175973,27300,55973.0,93503.0,DebtCon,Other,22.0,0.0,1.0,167.74173154,0.0,19.0,0
135,,30200,36000.0,73500.0,DebtCon,Office,14.0,0.0,1.0,202.96666667,0.0,33.0,1
136,33.688056559,32800,35458.0,78116.0,DebtCon,Other,9.0,,,126.51770522,,23.0,0
137,28.151885281,16900,131002.0,166859.0,DebtCon,Office,4.0,0.0,0.0,135.85642316,0.0,20.0,0
138,39.158084834,4400,53091.0,64074.0,DebtCon,Office,14.0,1.0,3.0,89.86105825,0.0,17.0,1
139,26.573930791,25900,80663.0,122372.0,DebtCon,ProfExe,10.0,0.0,1.0,133.66949395,0.0,18.0,0
140,27.837509605,26300,87291.0,122531.0,DebtCon,ProfExe,10.0,0.0,1.0,128.48325812,0.0,18.0,0
141,31.601436148,28200,,117181.0,DebtCon,Mgr,9.0,0.0,0.0,170.64615367,0.0,26.0,0
142,33.459245644,38900,31836.0,54976.0,DebtCon,Other,,0.0,0.0,,6.0,0.0,0
143,33.742374549,16900,78455.0,121450.0,,,,,,,,,0
144,31.86981041,22400,95539.0,124566.0,HomeImp,Mgr,9.0,0.0,0.0,140.69550244,1.0,24.0,0
145,38.544441857,11300,56651.0,71353.0,HomeImp,Other,29.0,1.0,2.0,176.91298776,1.0,24.0,0
146,41.512835893,31700,72809.0,109678.0,HomeImp,Other,5.0,,,117.47392147,10.0,21.0,0
147,36.776263557,41200,141705.0,207314.0,HomeImp,ProfExe,6.0,0.0,0.0,144.62241831,0.0,31.0,0
148,,2400,28000.0,40800.0,HomeImp,Mgr,12.0,0.0,0.0,67.2,2.0,22.0,1
149,34.068268927,20500,85884.0,103546.0,DebtCon,Other,5.0,9.0,0.0,39.985829576,5.0,16.0,1
150,40.772248428,22800,,97634.0,HomeImp,Other,8.0,0.0,0.0,177.56974031,1.0,16.0,0
151,,6000,,95500.0,HomeImp,Mgr,6.0,1.0,2.0,129.9,1.0,22.0,1
152,35.51267298,13500,59941.0,69336.0,HomeImp,Other,29.0,1.0,2.0,182.69566963,1.0,24.0,0
153,28.116067418,25600,,51974.0,DebtCon,Other,,,,100.67686562,,13.0,0
154,29.671390341,9000,79259.0,84322.0,HomeImp,Other,22.0,0.0,0.0,359.33227239,1.0,47.0,0
155,,63900,62200.0,140030.0,HomeImp,Office,10.0,0.0,1.0,126.8,0.0,12.0,0
156,62.801732089,38000,94083.0,132791.0,DebtCon,Self,10.0,0.0,1.0,212.99272796,0.0,64.0,1
157,40.131815447,35000,239058.0,40848.0,DebtCon,Mgr,4.0,0.0,1.0,212.01540583,3.0,49.0,0
158,34.729698093,8500,61607.0,81126.0,HomeImp,Other,16.0,0.0,0.0,222.21119026,1.0,35.0,0
159,40.162919392,20500,87892.0,136867.0,DebtCon,Other,10.0,0.0,0.0,96.929644692,3.0,15.0,0
160,40.916477381,21600,43449.0,68744.0,DebtCon,Office,11.0,0.0,1.0,121.95099104,1.0,22.0,0
161,41.413123846,19100,105111.0,176829.0,DebtCon,Office,6.0,0.0,0.0,211.40033751,4.0,24.0,0
162,35.247327711,21600,41105.0,65411.0,DebtCon,Other,25.0,0.0,0.0,303.23405271,3.0,32.0,0
163,,5000,100000.0,129693.5,HomeImp,Mgr,13.0,,,,,,1
164,42.403634209,13900,41641.0,53200.0,DebtCon,Other,,0.0,0.0,83.062468192,0.0,15.0,0
165,34.479454764,12600,103960.0,127384.0,DebtCon,,2.0,0.0,0.0,129.01549941,0.0,25.0,0
166,,18000,90000.0,120600.0,DebtCon,Office,25.0,0.0,0.0,272.93333333,3.0,17.0,0
167,,34800,121399.0,164000.0,DebtCon,Office,11.0,0.0,1.0,208.0,2.0,34.0,1
168,39.248014917,12900,45215.0,66162.0,DebtCon,Other,4.0,0.0,0.0,170.76451694,0.0,14.0,0
169,,5500,24700.0,35675.0,DebtCon,Other,1.0,0.0,3.0,153.93333333,3.0,27.0,1
170,29.595955514,6300,45582.0,89005.0,DebtCon,,2.0,0.0,0.0,209.35804693,4.0,30.0,0
171,35.691622815,12500,56791.0,72974.0,HomeImp,Other,29.0,0.0,3.0,182.0664052,0.0,24.0,0
172,16.816307486,12000,7804.0,65395.0,HomeImp,Other,8.0,2.0,0.0,347.12332582,0.0,21.0,0
173,41.214965339,28400,197852.0,243593.0,DebtCon,Other,10.0,0.0,0.0,111.10868013,2.0,26.0,0
174,42.926580203,50200,197770.0,271676.0,DebtCon,Mgr,16.0,0.0,0.0,146.86254129,1.0,20.0,1
175,42.265466118,9400,52598.0,74747.0,DebtCon,Mgr,6.0,,,129.34382449,,24.0,0
176,,15000,135442.0,175900.0,DebtCon,Mgr,11.0,0.0,0.0,247.56666667,0.0,21.0,0
177,33.217961697,39600,134552.0,193455.0,DebtCon,Mgr,,0.0,0.0,185.19383656,0.0,25.0,0
178,,10000,124000.0,192000.0,HomeImp,Office,0.0,0.0,1.0,346.96666667,0.0,16.0,0
179,,4000,74000.0,93000.0,HomeImp,ProfExe,2.6,1.0,3.0,186.63333333,,9.0,1
180,33.033146414,21300,58209.0,84200.0,DebtCon,Other,18.0,0.0,0.0,212.9322977,0.0,22.0,0
181,28.187139993,44500,,50696.0,DebtCon,Other,,5.0,,128.65639343,,20.0,0
182,29.159609493,12500,50097.0,73846.0,DebtCon,Other,1.0,0.0,0.0,267.86545832,0.0,20.0,0
183,,5000,22700.0,34225.0,HomeImp,Other,4.0,0.0,0.0,74.633333333,3.0,9.0,1
184,39.759849639,28000,62376.0,104073.0,DebtCon,Other,16.0,1.0,0.0,146.14192957,0.0,30.0,0
185,35.223861623,24200,45902.0,70212.0,DebtCon,Other,25.0,0.0,0.0,303.76246947,3.0,32.0,0
186,38.042767861,10800,44355.0,57742.0,HomeImp,Other,20.0,0.0,1.0,129.73199214,0.0,22.0,0
187,35.592253541,17600,67285.0,90816.0,DebtCon,Other,1.0,1.0,2.0,104.59286688,2.0,25.0,0
188,,12500,55000.0,75393.0,DebtCon,Other,0.75,0.0,1.0,113.03333333,1.0,16.0,1
189,44.21676389,16100,49371.0,77400.0,DebtCon,Office,3.0,2.0,2.0,214.06037616,1.0,51.0,1
190,,13800,65178.0,79000.0,DebtCon,Office,11.0,0.0,3.0,111.6,1.0,23.0,1
191,31.570298921,18000,48724.0,72654.0,DebtCon,Other,7.0,0.0,0.0,62.088605958,0.0,4.0,1
192,37.917272876,26000,45963.0,74279.0,DebtCon,Other,20.0,,0.0,295.6669448,1.0,29.0,0
193,28.171651103,14400,77366.0,130330.0,DebtCon,ProfExe,14.0,0.0,1.0,285.20006197,1.0,18.0,0
194,39.095566258,33700,83471.0,133221.0,DebtCon,Mgr,29.0,0.0,0.0,334.58120661,0.0,19.0,0
195,,10300,61000.0,75000.0,DebtCon,Office,12.0,0.0,0.0,251.53333333,4.0,37.0,0
196,36.888436373,9500,59494.0,75930.0,HomeImp,Other,0.0,0.0,0.0,98.99850784,0.0,6.0,0
197,,2900,78600.0,113000.0,DebtCon,ProfExe,6.0,1.0,0.0,165.33333333,2.0,26.0,1
198,,30000,8875.0,57000.0,DebtCon,Other,0.0,0.0,0.0,100.46666667,1.0,6.0,0
199,,18000,23252.0,50750.0,DebtCon,ProfExe,16.0,0.0,0.0,180.6,1.0,20.0,0
200,42.358128042,25700,94295.0,143788.0,DebtCon,Mgr,23.0,0.0,0.0,220.72951888,0.0,13.0,0
201,27.701649739,8800,55990.0,89673.0,HomeImp,Other,18.0,0.0,0.0,184.62596594,0.0,29.0,0
202,24.274865275,5700,,74685.0,,,,,,,,,0
203,32.056072286,12300,114035.0,137208.0,DebtCon,ProfExe,15.0,,1.0,173.71432273,0.0,33.0,0
204,18.423923816,14700,10098.0,51653.0,DebtCon,ProfExe,3.0,0.0,0.0,302.652472,0.0,16.0,0
205,,21500,18875.0,42500.0,DebtCon,Other,27.0,0.0,0.0,304.36666667,,13.0,0
206,38.191251339,27600,73846.0,100216.0,DebtCon,ProfExe,12.0,0.0,0.0,282.37066144,1.0,33.0,0
207,27.86112392,10500,41467.0,58329.0,DebtCon,Mgr,2.0,0.0,0.0,187.71348615,0.0,22.0,0
208,24.031239503,53300,,84871.0,HomeImp,Self,8.0,0.0,0.0,169.34372393,1.0,21.0,0
209,33.582415749,20500,47130.0,66415.0,DebtCon,Office,4.0,0.0,0.0,170.9255245,2.0,26.0,0
210,,18500,67290.0,95750.0,DebtCon,Other,,2.0,1.0,237.1,2.0,14.0,0
211,36.709538909,9700,53527.0,58605.0,DebtCon,Office,4.0,0.0,0.0,75.584542581,3.0,12.0,0
212,38.862120807,27500,69579.0,117799.0,DebtCon,Other,5.0,0.0,0.0,84.373124498,2.0,32.0,0
213,29.778946076,14100,86996.0,108452.0,HomeImp,Other,19.0,0.0,0.0,134.99325176,4.0,24.0,0
214,45.195495871,15700,53443.0,77704.0,DebtCon,Office,2.0,0.0,5.0,73.087538893,0.0,16.0,1
215,26.895804457,16500,,42894.0,HomeImp,Other,1.0,0.0,0.0,331.42686954,0.0,8.0,0
216,37.512708409,5000,80153.0,97275.0,DebtCon,Other,1.0,0.0,0.0,120.67506316,2.0,10.0,0
217,39.475689602,32300,133193.0,174905.0,DebtCon,Mgr,13.0,0.0,0.0,177.0516476,1.0,28.0,0
218,31.012748928,28600,126189.0,167157.0,DebtCon,ProfExe,19.0,0.0,2.0,239.22703591,0.0,26.0,1
219,,13500,42000.0,62800.0,DebtCon,ProfExe,6.0,0.0,0.0,153.16666667,2.0,12.0,0
220,,15000,92000.0,154000.0,DebtCon,Mgr,1.0,0.0,0.0,207.96666667,1.0,19.0,0
221,,13700,46000.0,81000.0,DebtCon,ProfExe,1.5,0.0,1.0,101.56666667,0.0,25.0,1
222,41.985557292,8200,79751.0,125413.0,HomeImp,Other,7.0,,,,,,0
223,30.526150723,6900,51384.0,84689.0,DebtCon,,4.0,0.0,0.0,224.2470369,3.0,29.0,0
224,43.061669134,22500,76493.0,105545.0,DebtCon,Other,,1.0,1.0,235.54177624,2.0,13.0,0
225,,13300,45860.0,63500.0,HomeImp,ProfExe,7.0,0.0,0.0,127.76666667,4.0,9.0,1
226,,10000,90700.0,123370.0,DebtCon,ProfExe,15.0,2.0,0.0,90.3,1.0,4.0,1
227,37.837863874,27100,33649.0,63214.0,,Office,2.0,0.0,0.0,113.03673652,2.0,6.0,0
228,,8000,33689.3,48000.0,DebtCon,Other,3.0,0.0,0.0,103.73333333,0.0,13.0,1
229,22.854999265,18300,67550.0,95440.0,DebtCon,Office,3.0,0.0,0.0,154.15011358,0.0,25.0,0
230,20.785145567,15200,34854.0,63519.0,DebtCon,ProfExe,6.0,0.0,0.0,275.47969762,0.0,15.0,0
231,21.241194773,27300,127260.0,212953.0,DebtCon,ProfExe,9.0,0.0,0.0,244.1654213,3.0,26.0,0
232,18.182891915,15500,28269.0,52822.0,HomeImp,Other,9.0,0.0,0.0,120.61092122,1.0,9.0,0
233,20.353582085,26500,,38964.0,DebtCon,Other,11.0,1.0,,102.75290244,,14.0,0
234,38.394222444,13900,103030.0,114131.0,DebtCon,Mgr,3.0,0.0,0.0,,0.0,0.0,1
235,43.902152357,44400,100564.0,154708.0,DebtCon,Other,14.0,,0.0,253.91411096,3.0,30.0,0
236,39.840875348,14900,57557.0,80611.0,DebtCon,Other,12.0,0.0,0.0,103.10650454,0.0,7.0,1
237,34.816959504,19000,62356.0,92299.0,DebtCon,Office,0.0,0.0,0.0,60.294143175,0.0,23.0,0
238,32.823120645,51600,38900.0,63292.0,DebtCon,Office,6.0,1.0,,182.52089639,1.0,15.0,0
239,33.953593917,17000,98451.0,138012.0,DebtCon,Office,3.0,,,120.23893457,2.0,15.0,0
240,29.316710061,14700,106417.0,123580.0,HomeImp,ProfExe,9.0,0.0,0.0,166.49606529,3.0,31.0,0
241,30.395869434,68100,193298.0,288525.0,DebtCon,Self,10.0,0.0,0.0,228.28729515,2.0,25.0,0
242,28.793166271,11100,50350.0,58837.0,DebtCon,Other,6.0,0.0,0.0,80.843216818,0.0,10.0,0
243,,9400,26700.0,40150.0,HomeImp,Other,9.0,0.0,0.0,80.166666667,0.0,4.0,0
244,27.979706434,12900,83886.0,100782.0,HomeImp,ProfExe,5.0,0.0,0.0,115.07618603,1.0,27.0,0
245,,14300,21828.0,38000.0,DebtCon,Mgr,17.0,1.0,0.0,103.5,1.0,17.0,0
246,,46300,39800.0,41600.0,DebtCon,Other,,0.0,0.0,111.6,1.0,3.0,1
247,41.275208993,30200,106594.0,148695.0,DebtCon,Other,13.0,0.0,0.0,239.91840501,1.0,39.0,0
248,36.279990349,19700,60999.0,89841.0,DebtCon,Office,0.0,0.0,0.0,82.103881006,0.0,22.0,0
249,33.678945978,43300,,45924.0,DebtCon,Other,,1.0,1.0,207.3007302,0.0,17.0,1
